route,trip_count,pct_of_total
Fountain Alley at S 2nd St → San Fernando St at 7th St,57,0.032622879512831666
5th St at Virginia St → Paseo De San Antonio at 2nd St,57,0.032622879512831666
Milvia St at Derby St → Ashby BART Station,57,0.032622879512831666
San Francisco Ferry Building (Harry Bridges Plaza) → Esprit Park,56,0.0320505482933083
Market St at 10th St → Embarcadero BART Station (Beale St at Market St),56,0.0320505482933083
Valencia St at 24th St → Valencia St at 21st St,56,0.0320505482933083
Haste St at Telegraph Ave → Bancroft Way at College Ave,56,0.0320505482933083
Webster St at Grove St → San Francisco Public Library (Grove St at Hyde St),56,0.0320505482933083
MacArthur BART Station → Genoa St at 55th St,56,0.0320505482933083
Grand Ave at Santa Clara Ave → Grand Ave at Webster St,56,0.0320505482933083
2nd St at Julian St → San Fernando St at 7th St,56,0.0320505482933083
North Berkeley BART Station → Addison St at Fourth St,56,0.0320505482933083
Davis St at Jackson St → San Francisco Caltrain (Townsend St at 4th St),56,0.0320505482933083
Russell St at College Ave → Rockridge BART Station,56,0.0320505482933083
Rockridge BART Station → Telegraph Ave at 58th St,55,0.03147821707378494
15th St at Potrero Ave → 16th St Mission BART Station 2,55,0.03147821707378494
Rockridge BART Station → Miles Ave at Cavour St,55,0.03147821707378494
Beale St at Harrison St → 2nd St at Townsend St,55,0.03147821707378494
